rule,sharpe_all,cagr,maxdd,bp,win%,sh_train,sh_test,n,avg_hz
gd T+3/T+1 sl=- tp=10.0,2.263100386627048,40.83320572305467,13.629615515409753,144.4179964960755,60.268606603245665,1.3800643321053518,1.3494656142516115,1787,2.186345831001679
rev T+3 sl=- tp=10.0,1.8740250135606928,33.304305216969944,11.54838977492717,122.98119061747937,51.98656966983771,0.9501815102467971,1.2930611343144451,1787,2.144935646334639
rev T+3 sl=- tp=15.0,1.9183086721072382,39.32911278915909,15.175198030740644,137.15590051298733,49.188584219362056,0.999205970382765,1.2723915150176655,1787,2.144935646334639
gd T+3/T+1 sl=- tp=15.0,2.258158753955378,44.37265515992339,15.988279934735061,152.75023411517017,58.365976496922215,1.4047655323870696,1.2648934411895314,1787,2.186345831001679
gd T+3/T+1 sl=- tp=20.0,2.2761855473183625,46.79045359791842,15.36012710197886,162.84949748076178,58.198097369893674,1.4443193548688062,1.2408241741914803,1787,2.186345831001679
rev T+3 sl=- tp=20.0,1.9025313687407035,41.22286970500677,13.008605392851337,145.59257239040343,48.796866256295466,1.0375558669355898,1.2197188863870934,1787,2.144935646334639
rev T+3 sl=- tp=30.0,1.9008615126994926,43.69999572853489,13.091371300727905,148.85150285998196,48.517067711247904,1.1245257910361044,1.1470052411643092,1787,2.144935646334639
reversal hold T+3 if d1>0,1.849639569773452,44.73055506331942,13.091371300727905,153.39753211900728,48.46110800223839,1.0969386677299708,1.135036854108119,1787,2.144935646334639
T+5 sl=- tp=10.0,1.7474561214330522,29.24158645361141,17.169859318432824,141.55808761419345,60.38052602126469,0.6626813303023061,1.1345389104781858,1787,5.0
runner T+3 if d1>2%,1.8500763969565635,45.17444525703398,13.612991641692451,156.47608320875892,52.21040850587577,1.0972304211398225,1.1123634459209641,1787,1.927811975377728
gd T+3/T+1 sl=- tp=30.0,2.199282944165941,46.223320098327214,18.028758520911616,160.86709930176175,57.91829882484612,1.4753423994390433,1.1112914632267994,1787,2.186345831001679
guidance T+3/T+1,2.135300883256958,48.05217964700679,18.028758520911627,166.88639932087935,57.91829882484612,1.4009955202835782,1.1073405245422518,1787,2.186345831001679
T+1 sl=- tp=10.0,1.9957887860200225,35.43976860100917,16.10260335368796,123.97594915749026,58.53385562395076,1.3441151832305813,1.1045178530322428,1787,1.0
runner T+3 if d1>1%,1.8169822392776322,44.003805588892874,13.391846220954085,154.68650092543155,50.531617235590375,1.0911348993738244,1.0964216661528738,1787,2.0318970341354223
reversal T+3 if d1>-1%,1.8150336530343705,43.89797067178094,19.432349156036686,153.236010665319,50.979294907666485,1.088729694754909,1.0916964483838587,1787,2.259093452714046
rev T+5 sl=- tp=10.0,1.5867405609654865,26.759128733229897,12.941521036803504,115.06419096983765,50.86737548964745,0.696799644820872,1.0761912318093692,1787,3.289871292669278
rev T+5 sl=- tp=15.0,1.573560603774078,30.080565346635012,15.867967778553172,122.27562791519938,46.95019585898154,0.781109778691282,1.0497500179040238,1787,3.289871292669278
runner T+3 if d1>3%,1.854711352587511,44.12320087379569,13.612991641692407,156.97153925858962,53.66536094012311,1.1551820129698864,1.0462008975539745,1787,1.8147733631785115
T+1 sl=- tp=20.0,1.9815966092121737,39.95719244785481,17.682452334938382,135.52997296821812,56.74314493564634,1.3718306303662504,1.022295421689422,1787,1.0
guidance T+2/T+1,2.0512700164729636,43.983176991474025,18.26676111847626,152.87592470499763,57.91829882484612,1.3868185294994773,1.0156927188749096,1787,1.5931729155008394
reversal hold T+2 if d1>0,1.9274069417019644,44.44278589830648,13.173699050133314,153.82929080065412,50.75545607162842,1.2650077591034665,1.0137683054655453,1787,1.5724678231673195
