rule,bp,train,test,t_test,test_stress,win%,early%,wick%,dbp
hold to T+1 close,129.42919549658936,137.83914359186733,115.70574558559085,3.563594222292739,105.50574558559087,56.51930609960828,0.0,0.0,0.0
exit at T+1 open,106.07611990914538,100.33304764719965,115.44773119962527,4.777318166370714,90.2477311996253,57.52658086177952,99.94404029099049,43.44904815229563,-23.353075587443975
hard stop 2% (next-close fill),59.55999997206697,72.11358775028597,39.074911226460685,1.920156599536776,17.63043405414847,32.288752098489084,72.13206491326245,41.03956555469356,-69.86919552452238
hard stop 2% (level fill),48.70107636393184,58.464224351487005,32.76945932385658,1.656132458068443,11.324982151544319,26.52490207050923,72.24398433128147,41.51820294345468,-80.72811913265754
confirm 5m close < -2%,87.49058512259192,100.78953226416752,65.78921040555839,2.751514748713461,45.802759742819084,36.877448237269164,60.940123111359824,32.78236914600551,-41.938610373997435
confirm 15m close < -2%,95.24000448072375,109.89989090080117,71.31783341526605,2.8347752159025377,51.90575683205549,40.12311135982093,57.0229434806939,29.048086359175663,-34.18919101586558
dwell 5min beyond -2%,101.2351502282954,117.90393854206799,74.03482997548242,2.972217022176724,54.8215751890318,40.570789031897036,56.127588136541696,28.614157527417746,-28.194045268293934
dwell 10min beyond -2%,95.378759692233,108.2108522452497,74.43920365579336,2.87702736181632,55.71195770586704,42.92109681029659,53.16172355903749,25.57894736842105,-34.05043580435635
stop 2% armed after 30m,88.25978784350481,99.70846443797889,69.57770586018034,2.941736303302873,49.281976846925595,36.653609401231115,64.63346390598768,35.064935064935064,-41.16940765308455
stop 2% armed after 60m,101.41952925161593,109.46491836641148,88.29097087283323,3.546063939345635,68.6137985606094,39.67543368774482,60.77224398433129,31.860036832412526,-28.009666244973406
stop 2% RTH-only,127.90434940067362,140.4776635342655,107.38707096176374,3.7942854088994538,88.6598250118374,45.60716284275322,55.00839395635143,24.61851475076297,-1.5248460959157273
hard stop 3% (next-close fill),71.70107493005281,85.46809603638438,49.235891740339454,2.126260262321152,29.006436659338,38.668158925573586,61.94739787353106,35.230352303523034,-57.72812056653652
hard stop 3% (level fill),51.944160972309305,65.84127839769592,29.266685114682844,1.2808224302735247,9.037230033681336,34.30330162283156,61.94739787353106,35.86269196025293,-77.48503452428005
confirm 5m close < -3%,99.92381850931898,119.4147718348408,68.11825697076493,2.677881922025872,49.479376263843015,43.48069390039172,51.315053161723554,25.7360959651036,-29.505376987270367
confirm 15m close < -3%,102.62229175410918,117.60544033403897,78.17261778273624,2.9478661819271417,60.13020246609416,45.551203133743705,47.90151091214326,23.24766355140187,-26.806903742480173
dwell 5min beyond -3%,99.28749832346517,114.57875541584527,74.33504934208493,2.7817235874828152,56.49145582220279,45.71908226077224,47.50979294907666,22.732626619552416,-30.141697173124193
dwell 10min beyond -3%,102.28673548511355,114.91394045759169,81.68151735623897,2.9632252191788475,64.36811529438333,47.6776720761052,44.37604924454393,19.924337957124845,-27.142460011475816
stop 3% armed after 30m,96.3104483535759,113.15066442069798,68.83039032357398,2.780266076854942,49.50667898336781,42.24958030218243,56.071628427532175,29.740518962075846,-33.118747143013465
stop 3% armed after 60m,104.80049592154549,115.23359784376878,87.7756403547953,3.345194455058244,68.98212047261565,44.15221040850588,53.16172355903749,26.736842105263158,-24.62869957504384
stop 3% RTH-only,125.68174221275966,137.05206649011774,107.12751644057599,3.730839139821395,89.28392292069384,48.01343033016228,48.237269166200335,20.185614849187935,-3.747453283829677
hard stop 5% (next-close fill),79.02259836599622,95.19764348276556,52.62797393391902,1.9819554127709746,34.78438041403689,46.222719641857864,45.942921096810295,28.623629719853838,-50.40659713059313
hard stop 5% (level fill),48.74115540952287,68.94894228625631,15.765856647489507,0.5927184182739681,-2.0998281831437478,43.14493564633464,45.99888080581981,29.075425790754256,-80.68804008706647
confirm 5m close < -5%,98.14588326961484,113.59519794021098,72.93551411641826,2.541342265354253,56.74876890286897,49.69222160044768,36.094012311135984,19.224806201550386,-31.283312226974488
confirm 15m close < -5%,102.12917198234238,112.83465671417775,84.65983901787467,2.896761450004569,68.95910264084968,50.979294907666485,33.07218802462227,16.920473773265652,-27.30002351424696
dwell 5min beyond -5%,100.01613262862551,112.55698292025886,79.55182905995133,2.724744096618274,63.718544818419694,50.81141578063794,33.46390598768886,17.05685618729097,-29.413062867963852
dwell 10min beyond -5%,111.91209023574133,123.67995530539099,92.70915283195365,3.1306356137416858,77.38396873769742,52.26636821488528,30.386121992165645,13.996316758747698,-17.51710526084803
stop 5% armed after 30m,94.124608095572,103.32613060794644,79.10945795755887,2.8507203609687437,62.03906031396536,48.29322887520985,42.08170117515389,23.93617021276596,-35.304587401017365
