rule,bp,train,test,t_test,test_stress,win%,early%,wick%,dbp
hold to T+1 close,33.81611770632609,-2.6164703891514756,93.39913513333698,2.8722532133668057,83.19913513333702,52.11111111111111,0.0,0.0,0.0
exit at T+1 open,6.171951580063413,-17.812773355223317,45.3973362838925,1.8540224618937444,20.197336283892522,51.0,99.94444444444444,41.07837687604224,-27.64416612626268
hard stop 2% (next-close fill),15.968367822615539,7.044830503542721,30.562205575769756,1.5257156136150352,8.942000597731688,29.166666666666668,76.5,38.416848220769786,-17.84774988371055
hard stop 2% (level fill),3.977455053097755,-6.515081712828575,21.137284580974335,1.0967147151825491,-0.48292039706376594,22.22222222222222,76.61111111111111,39.013778100072514,-29.83866265322837
confirm 5m close < -2%,25.281201273919446,13.667659190831104,44.27435867774035,1.8709498074995892,24.191488985207428,32.22222222222222,65.77777777777779,31.08108108108108,-8.534916432406638
confirm 15m close < -2%,20.883189709487784,8.204578801647255,41.61819466418453,1.6514893381928428,22.260068749104015,35.388888888888886,61.94444444444444,27.264573991031387,-12.932927996838306
dwell 5min beyond -2%,31.95381941019085,19.59488385463716,52.16601709035696,2.0590191459051175,32.85181504057659,35.77777777777777,61.22222222222222,26.860254083484573,-1.8622982961352452
dwell 10min beyond -2%,24.27293650930882,12.892496085100525,42.88487202005648,1.6176926931315418,24.031870555927664,38.5,57.94444444444444,23.48993288590604,-9.543181197017269
stop 2% armed after 30m,18.03484964882424,9.217675711835017,32.45473733201159,1.3681835121505461,12.04243864972757,33.22222222222222,68.94444444444444,32.634971796937954,-15.781268057501851
stop 2% armed after 60m,28.93527741037202,17.670735295992575,47.35766912598234,1.8560766948092107,27.62619035585058,36.5,64.66666666666666,28.951890034364265,-4.880840295954066
stop 2% RTH-only,35.365407767831144,16.553319898192157,66.13129671422466,2.2249198099610448,47.21240945214561,41.5,59.833333333333336,23.026926648096566,1.5492900615050622
hard stop 3% (next-close fill),15.194548670411596,8.47554336019857,26.18302441200449,1.1732174393022061,5.704839931770231,34.55555555555556,67.11111111111111,33.02980132450331,-18.6215690359145
hard stop 3% (level fill),-5.703767720054064,-12.198171163482685,4.9173869597552375,0.2265416357861362,-15.560797520479056,29.555555555555557,67.11111111111111,33.609271523178805,-39.51988542638018
confirm 5m close < -3%,28.716763356553134,20.76291900165155,41.724734285433186,1.6405021708249545,22.849770888654277,38.77777777777778,56.777777777777786,24.26614481409002,-5.099354349772951
confirm 15m close < -3%,21.14972236075567,9.190790645602068,40.707740993005416,1.5127724371682363,22.5135975083788,40.72222222222222,53.05555555555556,21.675392670157066,-12.666395345570415
